---
---
**さかなクン（魚軍）**とは、日本のアダルトゲーム・成年向けゲームで活躍する人気キャラクターのひとつです。以下が基本的な紹介内容です。

### 基本情報
- **存在形式**：ゲーム・キャラグルメ（魚のキャラクターを扱うアダルトグレーデーションコミックやWeb連載）
- **主な役割**：魚系のアダルト（色々な意味のアダルト）な役割キャラクターとして、ユーモアとセクシー要素で人気を集めている。
- **特徴**：魚であるため、鮮やかな色彩や発想で展開される作品特有のシチュエーションが多い。キャラクター名が「**さかな」→「魚軍」**であるため、「さかなクン」と親しみやすい愛称で呼ばれることもある。

### おもな展開の分野
- **アダルト漫画**：特に「魚軍系」のコミックや小説で活躍している。
- **Web上の人気キャラクター**：Twitterなどのソーシャルスプリングやブログ、ウェブコミックなどで度々登場している。
- **ゲーム化（アダルト・アートゲーム含む）**：魚軍のイベントやパロディ作品が展開される場合も。

### 人気の理由
1. **ユーティルティ（魚としてのユニークなシチュエーション）**：魚としておきにふくみた展開が多く、話題性がある。
2. **オタクカールチャーの定番キャラクター性**：アダルト業界内で高い知名度を持つ。
3. **コメディターンとエロ要素の融合**：ネタやダジャレに溢れている一方で、色々な作品ではアダルトシーンを経験することが一般的。

### 関連作品・パニック
- 「魚軍」のキャラクターは様々なアダルト作品に登場したり、パロディ作中に取り上げられることも多い。
- ネット上では、アカウント運営者の動画やイラストやブログ等が存在し、サブカルチャー内で知名度が高い。

もし、ある特定の作品や詳細な情報をお探しなら、具体的な作品名や関連内容を詳しくご指定いただければ、詳しくお伝えさせていただけます！
